NAME,CO2,GNP,origin
QAT,46.18632001,156299,1
NOR,8.379483692,82814,1
ARE,25.18191094,75876,1
KWT,25.52839225,71010,1
SGP,11.1746818,65729,1
CHE,4.666285619,59662,1
LUX,15.63699945,57006,1
IRL,8.448467854,56597,1
USA,16.48416388,53015,1
SAU,19.56733583,51397,1
AUS,17.13390232,48845,1
HKG,5.920417817,48330,1
NLD,9.743854352,45600,1
DNK,6.498282097,44836,1
DEU,9.7876606,44689,1
SWE,4.327102935,44659,1
CAN,15.38142016,43745,1
TWN,11.18475318,42165,1
ISL,10.49697769,42085,1
AUT,7.736572851,41445,1
BHR,24.04279442,41078,1
BEL,8.825529525,38766,1
OMN,14.56397487,38515,1
JPN,9.427261383,37465,1
GBR,6.058056283,37334,1
FIN,8.708927689,37239,1
FRA,5.409470867,37124,1
KOR,11.7159125,36103,1
NZL,7.394157044,34295,1
ITA,5.894722874,33419,1
GNQ,5.287210399,33317,1
ISR,7.955271705,31701,1
ESP,5.63105816,30110,1
MLT,3.307878154,29817,1
TTO,30.05476928,29178,1
CZE,10.04088468,28823,1
SVN,6.930098933,26908,1
SYC,6.186818674,26624,1
CYP,6.245314877,25577,1
SVK,6.244564852,25364,1
PRT,4.847338987,25346,1
EST,13.3289724,24857,1
POL,8.430056985,24838,1
LTU,4.524185212,24743,1
KAZ,15.47509523,23842,1
TKM,13.52100717,23813,1
RUS,11.58667437,23635,1
HUN,4.878172068,23279,1
MYS,8.051029932,23053,1
GRC,6.381875336,22574,1
LVA,3.686124007,22092,1
CHL,4.808999535,21696,1
PAN,2.52743656,21449,1
HRV,4.324787154,20376,1
URY,1.964115228,19468,1
MUS,3.237879976,18918,1
ARG,4.722376195,18875,1
GAB,2.766020423,18413,1
TUR,5.066136251,17906,1
ROU,3.794688164,17782,1
MNE,4.093904536,17741,1
BLR,6.382799036,17628,1
BGR,6.350336538,17037,1
IRN,7.941985293,16783,1
AZE,4.080899756,16645,1
MEX,3.95937175,16133,1
THA,4.717071714,15454,1
VEN,5.261512483,15219,1
BWA,3.154478265,15198,1
DOM,2.045522717,14489,1
DZA,3.703340218,14331,1
CRI,1.763475614,14098,1
IRQ,4.971127627,13898,1
BRA,2.281410256,13873,1
COL,1.775270638,13326,1
SRB,4.915032679,13184,1
LBN,3.28924565,12972,1
MKD,3.432634631,12644,1
CHN,6.914483012,12569,1
MNG,9.47380064,12360,1
ZAF,8.355644942,12139,1
BRB,4.648025551,12003,1
PER,2.087918506,11776,1
JOR,2.28749213,11529,1
EGY,2.183239812,11351,1
LKA,1.055399933,11149,1
TUN,2.35965141,11073,1
IDN,1.780273085,10911,1
GEO,2.506462126,10899,1
ECU,2.42622815,10527,1
UZB,3.113998349,10381,1
ALB,2.143578939,10342,1
LCA,2.431373761,10233,1
ARM,2.038012911,10080,1
BIH,7.393533819,9746,1
DMA,1.961759379,9550,1
NAM,1.61262411,9376,1
UKR,5.291703206,9214,1
PRY,0.86071163,8786,1
AGO,1.226891841,8453,1
SLV,1.077164161,8280,1
LBY,8.15323475,8096,1
MAR,1.737282076,8039,1
SWZ,0.92414115,7881,1
PHL,1.154407927,7410,1
GTM,1.262601875,7221,1
JAM,2.711023428,7084,1
CPV,0.986367466,6418,1
BOL,1.888545673,6355,1
IND,1.79542312,6125,1
MDA,1.280999597,6068,1
VNM,2.091609372,6062,1
COG,0.658266087,5974,1
LAO,0.280917046,5859,1
NGA,0.546115505,5360,1
MMR,0.454146249,5284,1
PAK,0.969989894,5223,1
NIC,0.861771079,5045,1
KGZ,1.655534838,4879,1
HND,1.160578937,4796,1
TJK,0.638702688,3991,1
GHA,0.535465664,3878,1
SDN,0.441849235,3651,1
STP,0.587861888,3624,1
BGD,0.523183748,3604,1
ZMB,0.275754125,3479,1
MRT,0.585452528,3407,1
CIV,0.453982894,3395,1
KHM,0.474672423,3251,1
KEN,0.314356612,3169,1
SYR,1.519192038,3091,1
DJI,0.836463734,3064,1
CMR,0.323651695,2828,1
LSO,1.117106457,2767,1
TZA,0.244811105,2660,1
YEM,0.693709216,2506,1
NPL,0.294173253,2435,1
SEN,0.554231389,2403,1
TCD,0.050438753,2189,1
BEN,0.620652465,2080,1
UGA,0.134289383,1980,1
AFG,0.353701996,1929,1
GMB,0.270911596,1788,1
RWA,0.082582398,1758,1
HTI,0.27642212,1728,1
COM,0.227964683,1702,1
ETH,0.126381721,1635,1
SLE,0.167003671,1619,1
MLI,0.084974086,1594,1
ZWE,0.615010975,1534,1
BFA,0.159269688,1483,1
GNB,0.161868295,1436,1
GIN,0.209885019,1417,1
TGO,0.361822432,1400,1
MDG,0.122289694,1381,1
